state,county
01,003
01,097
02,013
02,016
02,020
02,050
02,060
02,070
02,100
02,110
02,122
02,130
02,150
02,164
02,170
02,180
02,185
02,188
02,201
02,220
02,232
02,240
02,261
02,270
02,280
02,282
02,290
04,003
04,019
04,023
04,027
06,001
06,013
06,015
06,023
06,025
06,037
06,041
06,045
06,053
06,055
06,059
06,065
06,067
06,069
06,073
06,075
06,077
06,079
06,081
06,083
06,085
06,087
06,095
06,097
06,111
06,113
09,001
09,007
09,009
09,011
10,001
10,003
10,005
11,001
12,005
12,009
12,011
12,013
12,015
12,017
12,021
12,027
12,029
12,031
12,033
12,035
12,037
12,043
12,045
12,051
12,053
12,057
12,061
12,065
12,067
12,071
12,073
12,075
12,077
12,081
12,083
12,085
12,086
12,087
12,089
12,091
12,095
12,097
12,099
12,101
12,103
12,109
12,111
12,113
12,115
12,117
12,123
12,127
12,129
12,131
12,133
13,029
13,039
13,051
13,127
13,179
13,183
13,191
15,001
15,003
15,005
15,007
15,009
16,017
16,021
17,031
17,043
17,097
17,197
18,089
18,091
18,127
18,141
22,005
22,007
22,019
22,023
22,045
22,051
22,055
22,057
22,063
22,071
22,075
22,087
22,089
22,093
22,095
22,099
22,101
22,103
22,105
22,109
22,113
23,001
23,003
23,005
23,007
23,009
23,011
23,013
23,015
23,017
23,019
23,023
23,025
23,027
23,029
23,031
24,003
24,005
24,009
24,011
24,015
24,017
24,019
24,025
24,027
24,029
24,031
24,033
24,035
24,037
24,039
24,041
24,045
24,047
24,510
25,001
25,005
25,007
25,009
25,017
25,019
25,021
25,023
25,025
25,027
26,001
26,003
26,005
26,007
26,009
26,011
26,013
26,017
26,019
26,021
26,027
26,029
26,031
26,033
26,041
26,047
26,051
26,053
26,055
26,061
26,063
26,069
26,079
26,083
26,089
26,095
26,097
26,099
26,101
26,103
26,105
26,109
26,111
26,115
26,119
26,121
26,123
26,125
26,127
26,129
26,131
26,139
26,141
26,145
26,147
26,151
26,153
26,157
26,159
26,163
26,165
27,017
27,031
27,069
27,071
27,075
27,077
27,135
27,137
28,045
28,047
28,059
30,005
30,019
30,029
30,035
30,041
30,051
30,053
30,071
30,091
30,101
30,105
33,007
33,015
33,017
34,001
34,003
34,005
34,007
34,009
34,011
34,013
34,015
34,017
34,023
34,025
34,027
34,029
34,031
34,033
34,035
34,039
35,013
35,017
35,023
35,029
36,005
36,009
36,011
36,013
36,019
36,027
36,029
36,033
36,037
36,045
36,047
36,049
36,055
36,059
36,061
36,063
36,067
36,069
36,071
36,073
36,075
36,079
36,081
36,085
36,087
36,089
36,099
36,103
36,117
36,119
37,013
37,015
37,019
37,029
37,031
37,041
37,047
37,049
37,053
37,055
37,073
37,091
37,095
37,103
37,117
37,129
37,133
37,137
37,139
37,141
37,143
37,147
37,177
37,187
38,009
38,013
38,019
38,023
38,067
38,075
38,079
38,095
38,101
39,007
39,035
39,043
39,055
39,077
39,085
39,093
39,095
39,103
39,123
39,143
39,147
39,153
39,173
41,007
41,009
41,011
41,015
41,019
41,039
41,041
41,053
41,057
41,071
42,017
42,029
42,039
42,045
42,049
42,071
42,091
42,101
42,133
44,001
44,003
44,005
44,007
44,009
45,013
45,015
45,019
45,029
45,035
45,043
45,049
45,051
45,053
45,067
48,007
48,039
48,043
48,057
48,061
48,071
48,109
48,127
48,141
48,167
48,201
48,215
48,229
48,239
48,243
48,245
48,261
48,271
48,273
48,291
48,321
48,323
48,351
48,355
48,361
48,377
48,391
48,409
48,427
48,443
48,465
48,469
48,479
48,481
48,489
48,505
49,003
49,005
49,011
49,029
49,035
49,045
49,057
50,009
50,011
50,013
50,015
50,019
51,001
51,013
51,033
51,036
51,041
51,053
51,057
51,059
51,061
51,073
51,085
51,087
51,093
51,095
51,097
51,099
51,101
51,103
51,115
51,119
51,127
51,131
51,133
51,149
51,153
51,159
51,175
51,177
51,179
51,181
51,183
51,193
51,199
51,510
51,550
51,570
51,600
51,610
51,630
51,650
51,670
51,683
51,685
51,700
51,710
51,730
51,735
51,740
51,760
51,800
51,810
51,830
53,009
53,015
53,019
53,027
53,029
53,031
53,033
53,035
53,041
53,045
53,047
53,049
53,051
53,053
53,055
53,057
53,061
53,065
53,067
53,069
53,073
55,003
55,007
55,009
55,029
55,031
55,051
55,059
55,061
55,071
55,075
55,079
55,083
55,087
55,089
55,101
55,115
55,117
55,131
55,133
